name,genre,email,location,nonprofit_interest,instagram,artist_bio,nonprofit_reasoning
Luna White,Indie,white.luna@icloud.com,"Peoria, IL",Criminal Justice Reform,luna_white_music,"Based in Peoria, IL, Luna White creates indie music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Luna White is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Luna White is deeply committed to criminal justice reform because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like rehabilitation programs. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on rehabilitation programs, Luna White hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Drew Rogers,Indie,drewrogers@yahoo.com,"Evanston, IL",Criminal Justice Reform,drew_sounds,"Based in Evanston, IL, Drew Rogers creates indie music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Drew Rogers is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Drew Rogers is deeply committed to criminal justice reform because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like juvenile justice. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on juvenile justice, Drew Rogers hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Marley Murphy,Indie,marley.murphy.music@outlook.com,"Chicago, IL",Mental Health Awareness,marleymurphy,"Marley Murphy is a indie artist from Chicago, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Marley Murphy explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Marley Murphy is deeply committed to mental health awareness because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like stigma reduction. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on stigma reduction, Marley Murphy hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Sofia Foster,Pop,sofia.foster@icloud.com,"Rockford, IL",Criminal Justice Reform,sofia_foster,"Performing throughout Rockford, IL and the broader region, Sofia Foster brings a unique perspective to pop music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Sofia Foster draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Sofia Foster is deeply committed to criminal justice reform because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like prison reform. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on prison reform, Sofia Foster hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Marley Harris,Pop,marley_harris@outlook.com,"Champaign, IL",Immigration Rights,musician_marley,"Marley Harris is a pop artist from Champaign, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Marley Harris explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Marley Harris is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like family reunification. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on family reunification, Marley Harris hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Quinn Brooks,Pop,brooks.quinn@outlook.com,"Champaign, IL",Community Development,quinnbrooks,"Based in Champaign, IL, Quinn Brooks creates pop music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Quinn Brooks is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Quinn Brooks is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like neighborhood revitalization. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on neighborhood revitalization, Quinn Brooks hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Marley Lee,Pop,marleylee@outlook.com,"Schaumburg, IL",Education Equity,marley_lee,"Marley Lee is a pop artist from Schaumburg, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Marley Lee explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Marley Lee is passionate about education equity because they understand how access to quality education, particularly in areas like scholarship access, can transform individual lives and entire communities. Their own musical journey was shaped by educational opportunities, and they want to ensure that all young people have similar access regardless of their background or economic circumstances. Through supporting nonprofits focused on scholarship access, Marley Lee hopes to help create pathways for the next generation of artists and leaders."
Frankie Jenkins,Pop,frankiejenkins@gmail.com,"Naperville, IL",Arts Education,frankiejenkins,"Performing throughout Naperville, IL and the broader region, Frankie Jenkins brings a unique perspective to pop music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Frankie Jenkins draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Frankie Jenkins is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like cultural preservation. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on cultural preservation, Frankie Jenkins hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Ximena Campbell,Blues,ximenacampbell@yahoo.com,"Champaign, IL",Climate Change Action,musician_ximena,"Ximena Campbell is a blues artist from Champaign, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Ximena Campbell explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Ximena Campbell is deeply committed to climate change action because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like carbon footprint reduction. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on carbon footprint reduction, Ximena Campbell hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Gloria Cooper,Blues,cooper.gloria@gmail.com,"Urbana, IL",Animal Welfare,gloriacooper,"Gloria Cooper is a blues artist from Urbana, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Gloria Cooper explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Gloria Cooper is deeply committed to animal welfare because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like companion animal care. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on companion animal care, Gloria Cooper hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Marcus Robinson,Blues,marcusrobinson@icloud.com,"Naperville, IL",Animal Welfare,marcus.robinson,"Marcus Robinson is a blues artist from Naperville, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Marcus Robinson explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Marcus Robinson is deeply committed to animal welfare because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like shelter support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on shelter support, Marcus Robinson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Lane Jones,Blues,lane.jones@outlook.com,"Evanston, IL",Community Development,lane_jones,"Lane Jones is a blues artist from Evanston, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Lane Jones explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Lane Jones is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like community organizing. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on community organizing, Lane Jones hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Will Martin,Blues,martin.will@yahoo.com,"Champaign, IL",Immigration Rights,will_martin,"Performing throughout Champaign, IL and the broader region, Will Martin brings a unique perspective to blues music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Will Martin draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Will Martin is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like refugee resettlement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on refugee resettlement, Will Martin hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Rafael Hall,Alternative,rafael_hall@outlook.com,"Evanston, IL",Racial Equity,hall_music,"Based in Evanston, IL, Rafael Hall creates alternative music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Rafael Hall is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Rafael Hall is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like educational opportunity gaps. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on educational opportunity gaps, Rafael Hall hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Nova Walker,Alternative,nova.walker@hotmail.com,"Evanston, IL",Education Equity,nova_walker,"Based in Evanston, IL, Nova Walker creates alternative music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Nova Walker is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Recognizing the transformative power of education and the persistent inequalities in educational access, particularly around after-school programs, Nova Walker is committed to supporting organizations that work to level the playing field for all students. They believe that music and arts education are essential components of a well-rounded education and can provide young people with critical thinking skills, creative expression, and confidence. Nova Walker seeks to partner with nonprofits that share their vision of educational justice and opportunity for all."
Teresa Bailey,Alternative,teresa_bailey@yahoo.com,"Evanston, IL",Immigration Rights,teresa_bailey_music,"Performing throughout Evanston, IL and the broader region, Teresa Bailey brings a unique perspective to alternative music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Teresa Bailey draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Teresa Bailey is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like detention center conditions. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on detention center conditions, Teresa Bailey hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Luna Torres,Alternative,lunatorres@outlook.com,"Rockford, IL",Arts Education,torres_music,"Luna Torres is a alternative artist from Rockford, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Luna Torres explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Luna Torres is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like music therapy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on music therapy, Luna Torres hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Clara Garcia,Alternative,clara_garcia@icloud.com,"Chicago, IL",Education Equity,musician_clara,"Performing throughout Chicago, IL and the broader region, Clara Garcia brings a unique perspective to alternative music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Clara Garcia draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Recognizing the transformative power of education and the persistent inequalities in educational access, particularly around digital divide, Clara Garcia is committed to supporting organizations that work to level the playing field for all students. They believe that music and arts education are essential components of a well-rounded education and can provide young people with critical thinking skills, creative expression, and confidence. Clara Garcia seeks to partner with nonprofits that share their vision of educational justice and opportunity for all."
Hayden Price,Classical,haydenprice@hotmail.com,"Naperville, IL",Racial Equity,haydenprice,"Based in Naperville, IL, Hayden Price creates classical music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Hayden Price is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Hayden Price is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like healthcare disparities. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on healthcare disparities, Hayden Price hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Jake Allen,Classical,jake.allen.music@gmail.com,"Schaumburg, IL",Arts Education,jake_allen,"Performing throughout Schaumburg, IL and the broader region, Jake Allen brings a unique perspective to classical music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Jake Allen draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Jake Allen is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like music therapy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on music therapy, Jake Allen hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Piper Taylor,Classical,piper.taylor@outlook.com,"Naperville, IL",Healthcare Access,musician_piper,"Performing throughout Naperville, IL and the broader region, Piper Taylor brings a unique perspective to classical music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Piper Taylor draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Piper Taylor is deeply committed to healthcare access because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like mental health parity. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on mental health parity, Piper Taylor hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Beatrice Rivera,Classical,beatrice_rivera@hotmail.com,"Champaign, IL",Community Development,rivera_music,"Based in Champaign, IL, Beatrice Rivera creates classical music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Beatrice Rivera is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Beatrice Rivera is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like small business support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on small business support, Beatrice Rivera hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Owen James,Classical,james.owen@gmail.com,"Oak Park, IL",Community Development,musician_owen,"Based in Oak Park, IL, Owen James creates classical music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Owen James is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Owen James is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like civic engagement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on civic engagement, Owen James hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Frankie Peterson,Reggae,frankie.peterson.music@hotmail.com,"Evanston, IL",Criminal Justice Reform,frankiepeterson_artist,"Performing throughout Evanston, IL and the broader region, Frankie Peterson brings a unique perspective to reggae music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Frankie Peterson draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Frankie Peterson is deeply committed to criminal justice reform because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like juvenile justice. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on juvenile justice, Frankie Peterson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Ben Gomez,Reggae,bengomez@icloud.com,"Urbana, IL",Homelessness Prevention,ben_sounds,"Performing throughout Urbana, IL and the broader region, Ben Gomez brings a unique perspective to reggae music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Ben Gomez draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Ben Gomez is deeply committed to homelessness prevention because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like affordable housing advocacy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on affordable housing advocacy, Ben Gomez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Teresa Baker,Reggae,teresa_baker@yahoo.com,"Chicago, IL",Community Development,teresa_baker_music,"Teresa Baker is a reggae artist from Chicago, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Teresa Baker explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Teresa Baker is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like small business support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on small business support, Teresa Baker hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Kendall Gomez,Reggae,kendall.gomez.music@hotmail.com,"Naperville, IL",Economic Justice,kendall_gomez,"Based in Naperville, IL, Kendall Gomez creates reggae music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Kendall Gomez is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Kendall Gomez is deeply committed to economic justice because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like minimum wage advocacy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on minimum wage advocacy, Kendall Gomez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Zara Rivera,Reggae,zara.rivera@gmail.com,"Evanston, IL",Youth Development,rivera_music,"Zara Rivera is a reggae artist from Evanston, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Zara Rivera explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Zara Rivera is deeply committed to youth development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like arts programs. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on arts programs, Zara Rivera hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Tatum Perry,Punk,tatum.perry@icloud.com,"Urbana, IL",Disability Rights,tatum_perry,"Performing throughout Urbana, IL and the broader region, Tatum Perry brings a unique perspective to punk music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Tatum Perry draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Tatum Perry is deeply committed to disability rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like assistive technology. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on assistive technology, Tatum Perry hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Sofia Clark,Punk,sofia.clark.music@icloud.com,"Rockford, IL",Women's Rights,clark_music,"Based in Rockford, IL, Sofia Clark creates punk music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Sofia Clark is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Sofia Clark is deeply committed to women's rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like domestic violence prevention. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on domestic violence prevention, Sofia Clark hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Rosa Walker,Punk,rosawalker@yahoo.com,"Rockford, IL",Senior Care,musician_rosa,"Performing throughout Rockford, IL and the broader region, Rosa Walker brings a unique perspective to punk music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Rosa Walker draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Rosa Walker is deeply committed to senior care because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like elder abuse prevention. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on elder abuse prevention, Rosa Walker hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Willa Sanders,Punk,willa.sanders.music@gmail.com,"Evanston, IL",Youth Development,musician_willa,"Based in Evanston, IL, Willa Sanders creates punk music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Willa Sanders is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Willa Sanders is deeply committed to youth development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like job skills training. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on job skills training, Willa Sanders hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Nova Torres,Punk,nova_torres@yahoo.com,"Naperville, IL",Healthcare Access,nova_torres,"Performing throughout Naperville, IL and the broader region, Nova Torres brings a unique perspective to punk music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Nova Torres draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Nova Torres is deeply committed to healthcare access because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like preventive care. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on preventive care, Nova Torres hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Carlos King,Metal,carlos.king.music@outlook.com,"Naperville, IL",Social Justice,carlosking_artist,"Carlos King is a metal artist from Naperville, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Carlos King explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Carlos King's commitment to social justice stems from personal experiences with inequality and a deep belief that music can be a catalyst for positive social change, particularly in addressing systemic racism. They recognize the platform that comes with being a musician and feel a moral obligation to use their voice to advocate for marginalized communities and systemic reform. Through collaborations with nonprofits working on systemic racism, Carlos King aims to create meaningful dialogue and inspire concrete action for justice."
Quinn Wright,Metal,wright.quinn@gmail.com,"Aurora, IL",Racial Equity,wright_music,"Quinn Wright is a metal artist from Aurora, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Quinn Wright explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Quinn Wright is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like wealth gap. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on wealth gap, Quinn Wright hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Alex Edwards,Metal,alex.edwards.music@icloud.com,"Aurora, IL",Community Development,alex_edwards,"Based in Aurora, IL, Alex Edwards creates metal music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Alex Edwards is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Alex Edwards is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like civic engagement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on civic engagement, Alex Edwards hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Harper Ramirez,Metal,harper.ramirez@hotmail.com,"Naperville, IL",Racial Equity,harper_sounds,"Based in Naperville, IL, Harper Ramirez creates metal music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Harper Ramirez is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Harper Ramirez is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like wealth gap. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on wealth gap, Harper Ramirez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
